id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,lng,lat
75c4b90d-77a5-40f9-bb36-abf36f7a1e70,3008,Chemin Édouard-Roy,NA,J1N 0G4,1,SERRES YARGEAU,819 864-4156,TRUE,Agricole/pêcherie,Agricole,Cultures,Floriculture,111422,"Agriculture, foresterie, pêche et chasse",Floriculture,1173383911,Rock Forest - Deauville,FALSE,2020-09-21,2024-08-05,-72.0508231,45.34161950000001
b4060b5c-6efc-43e2-aa87-73887ce4f8ff,5335,Boulevard Bourque,NA,J1N 1G8,1,TESLA,NA,FALSE,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles neuves,441110,Commerce de détail,Concessionnaires d'automobiles neuves,NA,Rock Forest - Deauville,FALSE,2024-06-11,2024-09-20,-71.99900711810477,45.36582631775357
ea9fb0ed-7b76-4c3c-a166-d40ff54d4d90,4647,Boulevard Bourque,NA,J1N 2G6,1,VACANT,NA,FALSE,Bureau,VACANT,VACANT,VACANT,999998,Vacant,VACANT,NA,Rock Forest - Deauville,FALSE,2020-04-16,2024-07-30,-71.9821864,45.3751119
32319f44-1ab9-4eb7-aeb1-17940638827d,4645,Boulevard Bourque,NA,J1N 2G6,1,AVANTAGES FINANCIERS COLLECTIFS (AFC),819 823-1443,FALSE,Bureau,Services aux consommateurs,"Banques, caisses populaires, prêts hypotécaires et assurances",Agences et courtiers d'assurance,524210,Finance et assurances,Agences et courtiers d'assurance,1161152062,Rock Forest - Deauville,FALSE,2020-04-16,2024-07-30,-71.9821864,45.3751119
cb367d12-d6c3-48bc-b7c9-90b47d0b4215,4204,Rue Bertrand-Fabi,NA,J1N 3Y2,1,CINEMA GALAXY SHERBROOKE,819 821-4481,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Diffusion culturelle,Présentation de films et de vidéos,512130,Industrie de l'information et industrie culturelle,Présentation de films et de vidéos,1171619787,Rock Forest - Deauville,TRUE,2020-04-16,2024-06-25,-71.96191879472435,45.38347242823124
13ea58fc-6dc9-4586-a643-acdf292eb5a7,5954,Boulevard Bourque,NA,J1N 1H3,"1,2",LES AUTOMOBILES LACO 2006 INC.,819 864-6994,FALSE,Commerce,Biens réfléchis,Vente de véhicule,Concessionnaires d'automobiles d'occasion,441120,Commerce de détail,Concessionnaires d'automobiles d'occasion,1163334791,Rock Forest - Deauville,FALSE,2020-04-16,2024-06-20,-72.0137732,45.356521199999996
c5c86425-bfe1-4497-b581-88fd2095eb71,5954,Boulevard Bourque,B,J1N 1H3,"1,2",VACANT,NA,FALSE,Commerce,VACANT,VACANT,VACANT,999998,Vacant,VACANT,NA,Rock Forest - Deauville,FALSE,2020-04-16,2024-06-20,-72.0137732,45.356521199999996
e6c4843b-5a81-44d3-a8e2-53c478f64900,5954,Boulevard Bourque,A,J1N 1H3,1,ATELIER MULTI-TEK,819 612-0517,FALSE,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,2244750370,Rock Forest - Deauville,FALSE,2020-04-16,2024-06-20,-72.0137732,45.356521199999996
1f922b41-fc98-4478-a1fa-7dea477f5415,9371,Boulevard Bourque,NA,J1N 0G2,1,QUAIS BERTRAND,819 847-1555,TRUE,Industriel,Fabrication,Métaux,Fabrication d'autres tôles fortes et éléments de charpentes,332319,Fabrication,Fabrication d'autres tôles fortes et éléments de charpentes,1168663780,Rock Forest - Deauville,FALSE,2021-09-20,2024-07-29,-72.07995050000001,45.3140897
c1dab8df-e8ec-45d9-b57c-8ff8d74a6548,121,Chemin Godin,NA,J1R 0S6,1,AUTO REDRESSEMENT MICHEL MERCIER INC.,819 564-0997,FALSE,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1146921649,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-71.9989638,45.3933533
6263ed8a-aed6-49f8-a37f-61cba22f55dc,6618,Boulevard Bourque,NA,J1N 1H3,1,MAÇONNERIE TLT,819 342-1236,FALSE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de maçonnerie,238140,Construction,Entrepreneurs en travaux de maçonnerie,1176137280,Rock Forest - Deauville,FALSE,2022-08-10,2024-06-11,-72.0244579,45.3509828
3ba46025-f8ab-40ff-ac0c-25a9591e5f8f,6618,Boulevard Bourque,NA,J1N 1H3,"1,2",BIKE.CO,873 552-2453,FALSE,Commerce,Biens semi-courants,Sports,Magasins spécialisés en équipement et en fournitures de cyclisme,459113,Commerce de détail,Détaillants spécialisés en équipement et en fournitures de cyclisme,NA,Rock Forest - Deauville,FALSE,2022-08-03,2024-06-20,-72.0244579,45.3509828
abb03472-1800-42d1-af1e-afb2b19e8100,10281,Rue du Panorama,NA,J1N 0G8,1,LES COFFRAGES CARMEL INC.,819 843-2319,TRUE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1143664762,Rock Forest - Deauville,FALSE,2020-09-21,2024-07-29,-72.0954004,45.3036755
5d744ce2-4140-4deb-81ca-5fa0a1d04abb,10240,Boulevard Bourque,NA,J1N 0G2,19,PUITS BERNIER (SIÈGE SOCIAL),819 346-7464,FALSE,Commerce de gros/para-industriel,Construction,Construction,Construction d'aqueducs et d'égouts et structures connexes,237110,Construction,Construction d'aqueducs et d'égouts et structures connexes,1143211507,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-19,-72.0913937,45.30280930000001
3ed02ae0-b879-4951-b761-6bc911c7150e,1100,Chemin Rhéaume,NA,J1N 0G9,1,ATELIER RF,819 847-4136,TRUE,Industriel,Fabrication,Pièces et outillage,Fabrication de tous les autres produits métalliques divers,332999,Fabrication,Fabrication de tous les autres produits métalliques divers,1170760871,Rock Forest - Deauville,FALSE,2021-09-21,2024-07-29,-72.09053740000002,45.3075302
afd2e862-d5f6-41f7-907d-df81b996c3ca,10201,Chemin Alexis-Contant,NA,J1N 3G1,1,ATELIER FOX MARINE,819 868-7001,FALSE,Commerce,Services aux consommateurs,Réparation,Autres services de réparation et d'entretien d'articles personnels et ménagers,811490,Autres services (sauf les administrations publiques),Autres services de réparation et d'entretien d'articles personnels et ménagers,1171294359,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-19,-72.08849909999999,45.30324280000001
3d15e940-d0e1-4382-aa84-d14ae3345e2a,4324,Rue Bertrand-Fabi,NA,J1N 1Y7,1,PRÉFÉRENCE ANIMALE,819 481-1519,FALSE,Commerce,Biens courants,Fournitures pour animaux,Animaleries et magasins de fournitures pour animaux,459910,Commerce de détail,Animaleries et détaillants de fournitures pour animaux,1176299189,Rock Forest - Deauville,FALSE,2020-08-13,2024-06-25,-71.9635605,45.3800732
7473b364-92bb-46c0-86fb-28c588c81fc2,4204,Rue Bertrand-Fabi,1,J1N 3Y2,1,TRACTION PIÈCES DE VÉHICULES LOURDS,819 566-7322,FALSE,Commerce,Commerce de gros,Commerce de gros,"Grossistes-marchands de tous les autres machines, matériel et fournitures",417990,Commerce de gros,"Grossistes-marchands de tous les autres machines, matériel et fournitures",1168815836,Rock Forest - Deauville,FALSE,2020-04-16,2024-06-25,-71.96238739373361,45.383388330128724
87a94281-754d-409b-9577-d62231e2dbed,358,Rue Rodolphe-Racine,NA,J1R 0S7,1,91733071-QUÉBEC INC.,819 574-4976,FALSE,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990,Fabrication,Toutes les autres activités diverses de fabrication,NA,Rock Forest - Deauville,FALSE,2023-07-28,2024-08-02,-72.0057514,45.38801709999999
5fce1270-02f9-48a0-b449-1920a1602eda,356,Rue Rodolphe-Racine,NA,J1R 0S7,1,G.N. SÉCURITÉ INC.,819 822-1379,FALSE,Commerce de gros/para-industriel,Services d'affaires,Sécurité,Services de systèmes de sécurité (sauf les serruriers),561621,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Services de systèmes de sécurité (sauf les serruriers),1141033374,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0057514,45.3880171
f16794b6-5513-4493-b2d1-d687cb966a4e,352,Rue Rodolphe-Racine,NA,J1R 0S7,1,BELL MOBILITÉ,819 446-3091,FALSE,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Entreposage et emmagasinage général,493110,Transport et entreposage,Entreposage et emmagasinage général,1143866029,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0057514,45.3880171
6f2aac38-62e9-486d-bcc8-49a87e0fc291,9321,Boulevard Bourque,NA,J1N 0G2,1,ALAIN LIZOTTE CONSTRUCTION,819 674-8997,FALSE,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110,Construction,Construction résidentielle,1163779854,Rock Forest - Deauville,FALSE,2020-09-28,2024-07-29,-72.0769294,45.31549129999999
5a6813ef-ee43-45b4-9169-9b9845c7c22f,9300,Boulevard Bourque,NA,J1N 0G2,1,DALKOTECH,819 868-1997,TRUE,Industriel,Fabrication,Machinerie,Ateliers d'usinage,332710,Fabrication,Ateliers d'usinage,1142892885,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-12,-72.0753409,45.3136916
8fa8713f-4987-4ea3-8173-e00278d450e3,9250,Boulevard Bourque,NA,J1N 0G2,1,JW EXPRESS,819 868-1770,FALSE,Commerce de gros/para-industriel,Transport,Transport de marchandises,"Transport par camion de marchandises diverses sur de longues distances, charge complète",484121,Transport et entreposage,"Transport par camion de marchandises diverses sur de longues distances, charge complète",1146631016,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-12,-72.0740154,45.31476149999999
b5cc2042-08c0-4785-b073-886909f151f9,8530,Boulevard Bourque,NA,J1N 0G2,"1, 2",POMPAGE DE BÉTON MC LTÉE,819 572-3135,FALSE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1142016568,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-11,-72.05782649999999,45.3260094
cdd73e91-3239-497a-8c9c-3258181e168d,8540,Boulevard Bourque,NA,J1N 0G2,"-1, 1",PORTES DE GARAGE RUEL ET FILS INC.,819 864-6363,FALSE,Industriel,Fabrication,Matériaux de construction,Fabrication de portes et de fenêtres en métal,332321,Fabrication,Fabrication de portes et de fenêtres en métal,1149261803,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-11,-72.0583407,45.3256601
13ab6e4d-b4b5-409f-801d-af218afb7eb0,3008,Chemin Édouard-Roy,NA,J1N 0G4,1,SERRES YARGEAU,819 864-4156,TRUE,Agricole/pêcherie,Agricole,Cultures,Floriculture,111422,"Agriculture, foresterie, pêche et chasse",Floriculture,1173383911,Rock Forest - Deauville,FALSE,2021-10-28,2024-08-05,-72.05193919999999,45.341858099999996
a8129b6f-ae01-495b-8c4e-e46d5fb85e62,3008,Chemin Édouard-Roy,NA,J1N 0G4,1,SERRES YARGEAU,819 864-4156,TRUE,Agricole/pêcherie,Agricole,Cultures,Floriculture,111422,"Agriculture, foresterie, pêche et chasse",Floriculture,1173383911,Rock Forest - Deauville,FALSE,2020-09-21,2024-08-05,-72.05149759999999,45.3415198
1d327fc5-2c13-4c3d-a16e-89b885e6056e,8683,Rue Saroy,NA,J1N 3J4,1,CLUB NAUTIQUE DU PETIT LAC MAGOG INC.,819 864-6130,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Installations sportives et de loisirs,Marinas,713930,"Arts, spectacles et loisirs",Marinas,1142308163,Rock Forest - Deauville,FALSE,2020-09-21,2024-08-05,-72.042744,45.323181999999996
254d6aa2-5d47-4d47-92ab-fe2827db84ee,220,Avenue du Parc,NA,J1N 3M5,1,CENTRE ÉNERGÉTIQUE ET ART MARTIAUX,819 864-4236,FALSE,Bureau,Services aux consommateurs,Centre de formation,Formation athlétique,611620,Services d'enseignement,Formation athlétique,1169702470,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-21,-72.04157719999999,45.3410097
ac958099-f63c-4b8f-aa65-d59e280e7501,216,Avenue du Parc,NA,J1N 3M5,1,MARIE-ANNE LACHANCE ORTHOPÉDAGOGUE ET AIDE À L’APPRENTISSAGE,819 993-5679,FALSE,Bureau,Services professionnels,Professionnels de la santé et assistance sociale,Cabinets de tous les autres praticiens de la santé,621390,Soins de santé et assistance sociale,Cabinets de tous les autres praticiens de la santé,NA,Rock Forest - Deauville,FALSE,2022-08-19,2024-06-21,-72.04157719999999,45.3410097
00f6f467-ba50-44f9-9d3a-4dd0261b5785,216,Avenue du Parc,NA,J1N 1Y7,1,COMMUNICATION JEAN MALO INC.,1 888-921-2230,FALSE,Bureau,Services aux consommateurs,Centre de formation,Tous les autres établissements d'enseignement et de formation,611690,Services d'enseignement,Tous les autres établissements d'enseignement et de formation,1165897951,Rock Forest - Deauville,FALSE,2021-02-05,2024-06-12,-72.04157719999999,45.3410097
81e34044-da2a-4b70-ab2a-08b64f2c4b90,3200,Chemin Saint-Roch Nord,NA,J1R 0H3,1,BAR LE SHELBY,819 569-9393,FALSE,Commerce,"Restauration, divertissement et hôtellerie",Débits de boissons alcoolisées,Débits de boissons alcoolisées,722410,Services d'hébergement et de restauration,Débits de boissons alcoolisées,1166005422,Rock Forest - Deauville,FALSE,2020-09-21,2024-07-31,-72.0411927,45.37045439999999
0f306b90-5619-4a45-bcd9-71e34a080aec,7011,Boulevard Bourque,NA,J1N 3M1,1,LOCATION SUPRÊME,819 575-8094,FALSE,Commerce de gros/para-industriel,Services aux consommateurs,Location,"Location et location à bail de camions, de remorques utilitaires et de véhicules de plaisance",532120,Services immobiliers et services de location et de location à bail,"Location et location à bail de camions, de remorques utilitaires et de véhicules de plaisance",1173546707,Rock Forest - Deauville,TRUE,2023-01-06,2024-07-31,-72.03524279999999,45.345885300000006
caa3df5b-97d4-4a14-8247-efd7d9d69a95,3008,Chemin Édouard-Roy,NA,J1N 0G4,1,SERRES YARGEAU,819 864-4156,TRUE,Agricole/pêcherie,Agricole,Cultures,Floriculture,111422,"Agriculture, foresterie, pêche et chasse",Floriculture,1173383911,Rock Forest - Deauville,FALSE,2021-10-28,2024-08-05,-72.0524726,45.342829099999996
5a0643c9-770e-490f-a9ac-1c2c6d3e1652,534,Chemin Louis-Cayer,NA,J1R 0H7,"1, 2",SOL PERGOLA,819 300-2463,FALSE,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",417930,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",1166557943,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-12,-72.03232009999999,45.3752043
14bd6c4f-7876-4405-9e6f-d8278d353430,534,Chemin Louis-Cayer,NA,J1R 0H7,"1,2",SOLUTION ABRIS ESTRIE,819 200-4050,FALSE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en autres travaux de finition de bâtiment,238390,Construction,Entrepreneurs en autres travaux de finition de bâtiment,NA,Rock Forest - Deauville,FALSE,2024-06-12,NA,-72.03230106574934,45.37520202001619
b8d0c800-152e-4e54-aa58-f10d2c3e6705,6902,Boulevard Bourque,NA,J1N 1H2,1,GARAGE MAG TRANSMISSION,819 864-9119,FALSE,Commerce,Services aux consommateurs,Entretien automobile,Autres services de réparation et d'entretien mécaniques et électriques de véhicules automobiles,811199,Autres services (sauf les administrations publiques),Tous les autres services de réparation et d'entretien de véhicules automobiles,1164590706,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-11,-72.0315956,45.3469973
dd028b5e-63f4-4ec7-969c-8bbea16d0c7e,1255,Chemin Saint-Roch Nord,NA,J1N 0H2,1,EMBLM,819 864-4281,FALSE,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,417910,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,1143314756,Rock Forest - Deauville,FALSE,2020-09-21,2024-07-31,-72.0311048,45.3513577
ea921434-d7c1-464d-94c3-abe6a575b842,1235,Chemin Saint-Roch Nord,NA,J1N 0H2,1,MOBILIER DE BUREAU LOGIFLEX INC.,1 877 864-9323,TRUE,Industriel,Fabrication,Mobilier,Fabrication de meubles de bureau (sauf en bois),337214,Fabrication,Fabrication de meubles de bureau (sauf en bois),1170997887,Rock Forest - Deauville,FALSE,2020-09-21,2024-07-31,-72.03048629999999,45.351361999999995
2abc2b32-50dc-43d6-890b-06468c86d435,6838,Boulevard Bourque,NA,J1N 1H2,1,TERRAQUAVIE,819 846-3880,TRUE,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990,Fabrication,Toutes les autres activités diverses de fabrication,1165778680,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-11,-72.02952069999999,45.34789079999999
713b1407-7582-40a6-9bd8-e135a1522d45,534,Chemin Louis-Cayer,NA,J1R 0H7,"1,2",ÉVÉNEMENT DS,819 200-4050,FALSE,Commerce de gros/para-industriel,Services aux consommateurs,Location,Location de tous les autres biens de consommation,532280,Services immobiliers et services de location et de location à bail,Location de tous les autres biens de consommation,NA,Rock Forest - Deauville,FALSE,2024-06-12,NA,-72.03230106574934,45.37520202001619
a7250795-6a16-436c-8a1c-89d0fdcc0ebc,5898,Rue Dugrenier,NA,J1N 0A7,1,BOULANGERIE KIRI,819 864-4514,FALSE,Industriel,Fabrication,Agroalimentaire,Boulangeries commerciales et fabrication de produits de boulangerie congelés,311814,Fabrication,Boulangeries commerciales et fabrication de produits de boulangerie congelés,1166203134,Rock Forest - Deauville,FALSE,2020-09-21,2024-07-30,-72.0136611,45.3605082
ed4377bb-371e-480b-a0ca-0a6a3adb521b,1230,Chemin Saint-Roch Sud,NA,J1N 0B2,1,BÉTON PRÉFONTAINE,819 864-0345,FALSE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1143741776,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-21,-72.0247383,45.349926700000005
c5d4aa82-1b8c-41d9-804d-4bcc6339bc18,6598,Boulevard Bourque,NA,J1N 1H3,"1,2",UNI-PRO GARAGE JEAN MATHIEU,819 612-0809,FALSE,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1165274946,Rock Forest - Deauville,TRUE,2020-04-16,2024-06-11,-72.0236015,45.35124
bbfbf6bf-9251-476e-a6ae-bf862ca361d9,534,Chemin Louis-Cayer,NA,J1R 0H7,"1,2",ISE CONSTRUCTION,819 200-4050,FALSE,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110,Construction,Construction résidentielle,NA,Rock Forest - Deauville,FALSE,2024-06-12,NA,-72.03230106574934,45.37520202001619
1491ea51-b8cb-4001-af39-67e10b620a1f,3205,Rue Albert-Boudreau,NA,J1G 5J1,1,AUTOBUS DES CANTONS INC.,819 346-1995,FALSE,Commerce de gros/para-industriel,Transport,Transport de personnes,Transport scolaire et transport d'employés par autobus,485410,Transport et entreposage,Transport scolaire et transport d'employés par autobus,1149295991,Rock Forest - Deauville,FALSE,2020-09-21,2024-06-21,-72.02348479999999,45.349621
3ba8b23d-cf14-4df8-81b3-b23189cb8d85,5920,Boulevard Bourque,NA,J1N 1H3,1,CASERNE INCENDIE JACQUES-DENAULT,819 823-8000,FALSE,Institution,Organismes publics et privés,Organismes publics,Services municipaux de lutte contre les incendies,913140,Administrations publiques,Services municipaux de lutte contre les incendies,8831854920,Rock Forest - Deauville,FALSE,2020-04-16,2024-06-20,-72.0114159,45.356878699999996
f7c9065b-8237-4280-a689-306e7b8de968,395,Rue Rodolphe-Racine,Bâtiment D,J1R 0S7,"1,2",ANIMAT,819 821-2091,TRUE,Industriel,Fabrication,Plastiques et composites,Fabrication d'autres produits en caoutchouc,326290,Fabrication,Fabrication d'autres produits en caoutchouc,1177549095,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.00663569999999,45.3863209
6ece0f8d-f4c4-468b-b5f7-08e557ccd71b,390,Rue Rodolphe-Racine,NA,J1R 0S7,1,AIGUIFAB,NA,FALSE,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990,Fabrication,Toutes les autres activités diverses de fabrication,NA,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.00638130000002,45.387630800000004
aec6e0a3-69fc-4251-bd23-bbf462383fb6,330,Rue Rodolphe-Racine,NA,J1R 0S7,1,X AUTOMATION,819 200-0317,FALSE,Commerce de gros/para-industriel,Services professionnels,Conception de systèmes informatiques et services connexes,Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),541514,"Services professionnels, scientifiques et techniques",Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),1170236732,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0052067,45.38843079999999
dfcc1f16-6582-4dc5-a0b3-019c5eb85cd0,330,Rue Rodolphe-Racine,NA,J1R 0S7,2,PINARGON INGÉNIERIE CONSEIL,819 377-2226,FALSE,Bureau,Services professionnels,"Architecture, génie et services connexes",Services de génie,541330,"Services professionnels, scientifiques et techniques",Services de génie,1166069048,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0052067,45.38843079999999
6d01bd94-78d6-42f6-b7de-1f137655c721,282,Rue Rodolphe-Racine,NA,J1R 0S7,1,CONSTRUCTION MAX-CED INC.,819 843-3552,FALSE,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110,Construction,Construction résidentielle,1143790682,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.00481959999999,45.38883919999999
05e9c5c1-a68b-4c7f-905a-369f99224a98,160,Rue Léger,3,J1L 1L9,1,TEINTAGE DE L'ESTRIE,818 823-4885,FALSE,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1167163196,Rock Forest - Deauville,FALSE,2024-06-17,2024-08-02,-71.96892160120997,45.39102050064726
7bfb016a-4a7c-4706-a120-1e1ca2dec4be,282,Rue Rodolphe-Racine,A,J1R 0S7,1,CONSTRUCTION 20-55,819 740-4842,FALSE,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en préparation de terrains,238910,Construction,Entrepreneurs en préparation de terrains,1173044034,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.00481959999999,45.38883919999999
479b6cb9-a265-4489-a977-9393ef679e07,436,Chemin Godin,NA,J1R 0S6,1,ENTREPÔTS CIBLE MINI ENTREPOSAGE,819 864-6030,TRUE,Commerce,Services aux consommateurs,Location,Mini-entrepôts libre-service,531130,Services immobiliers et services de location et de location à bail,Mini-entrepôts libre-service,1173299299,Rock Forest - Deauville,FALSE,2020-10-30,2024-08-02,-72.0044679,45.385184
