,id,no_civique,rue,no_local,code_postal,etage,entreprise,telephone,enfant,type_etablissement,usage_1,usage_2,usage_3,type_scian,secteur_nom,classe_nom,neq,secteur_commercial,grandes_chaines,date_creation,date_modification,Longitude,Latitude
19,87a94281-754d-409b-9577-d62231e2dbed,358,Rue Rodolphe-Racine,,J1R 0S7,1,91733071-QUÉBEC INC.,819 574-4976,False,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990.0,Fabrication,Toutes les autres activités diverses de fabrication,,Rock Forest - Deauville,False,2023-07-28,2024-08-02,-72.0057514,45.38801709999999
20,5fce1270-02f9-48a0-b449-1920a1602eda,356,Rue Rodolphe-Racine,,J1R 0S7,1,G.N. SÉCURITÉ INC.,819 822-1379,False,Commerce de gros/para-industriel,Services d'affaires,Sécurité,Services de systèmes de sécurité (sauf les serruriers),561621.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Services de systèmes de sécurité (sauf les serruriers),1141033374.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0057514,45.3880171
21,f16794b6-5513-4493-b2d1-d687cb966a4e,352,Rue Rodolphe-Racine,,J1R 0S7,1,BELL MOBILITÉ,819 446-3091,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Entreposage et emmagasinage général,493110.0,Transport et entreposage,Entreposage et emmagasinage général,1143866029.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0057514,45.3880171
22,6f2aac38-62e9-486d-bcc8-49a87e0fc291,9321,Boulevard Bourque,,J1N 0G2,1,ALAIN LIZOTTE CONSTRUCTION,819 674-8997,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1163779854.0,Rock Forest - Deauville,False,2020-09-28,2024-07-29,-72.0769294,45.31549129999999
23,8fa8713f-4987-4ea3-8173-e00278d450e3,9250,Boulevard Bourque,,J1N 0G2,1,JW EXPRESS,819 868-1770,False,Commerce de gros/para-industriel,Transport,Transport de marchandises,"Transport par camion de marchandises diverses sur de longues distances, charge complète",484121.0,Transport et entreposage,"Transport par camion de marchandises diverses sur de longues distances, charge complète",1146631016.0,Rock Forest - Deauville,False,2020-09-21,2024-06-12,-72.0740154,45.31476149999999
24,b5cc2042-08c0-4785-b073-886909f151f9,8530,Boulevard Bourque,,J1N 0G2,"1, 2",POMPAGE DE BÉTON MC LTÉE,819 572-3135,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1142016568.0,Rock Forest - Deauville,False,2020-09-21,2024-06-11,-72.05782649999999,45.3260094
25,1d327fc5-2c13-4c3d-a16e-89b885e6056e,8683,Rue Saroy,,J1N 3J4,1,CLUB NAUTIQUE DU PETIT LAC MAGOG INC.,819 864-6130,False,Commerce,"Restauration, divertissement et hôtellerie",Installations sportives et de loisirs,Marinas,713930.0,"Arts, spectacles et loisirs",Marinas,1142308163.0,Rock Forest - Deauville,False,2020-09-21,2024-08-05,-72.042744,45.323182
26,81e34044-da2a-4b70-ab2a-08b64f2c4b90,3200,Chemin Saint-Roch Nord,,J1R 0H3,1,BAR LE SHELBY,819 569-9393,False,Commerce,"Restauration, divertissement et hôtellerie",Débits de boissons alcoolisées,Débits de boissons alcoolisées,722410.0,Services d'hébergement et de restauration,Débits de boissons alcoolisées,1166005422.0,Rock Forest - Deauville,False,2020-09-21,2024-07-31,-72.0411927,45.37045439999999
27,0f306b90-5619-4a45-bcd9-71e34a080aec,7011,Boulevard Bourque,,J1N 3M1,1,LOCATION SUPRÊME,819 575-8094,False,Commerce de gros/para-industriel,Services aux consommateurs,Location,"Location et location à bail de camions, de remorques utilitaires et de véhicules de plaisance",532120.0,Services immobiliers et services de location et de location à bail,"Location et location à bail de camions, de remorques utilitaires et de véhicules de plaisance",1173546707.0,Rock Forest - Deauville,True,2023-01-06,2024-07-31,-72.03524279999999,45.345885300000006
28,5a0643c9-770e-490f-a9ac-1c2c6d3e1652,534,Chemin Louis-Cayer,,J1R 0H7,"1, 2",SOL PERGOLA,819 300-2463,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",417930.0,Commerce de gros,"Grossistes-marchands de machines, matériel et fournitures d'usage professionnel",1166557943.0,Rock Forest - Deauville,False,2020-09-21,2024-06-12,-72.03232009999999,45.3752043
30,b8d0c800-152e-4e54-aa58-f10d2c3e6705,6902,Boulevard Bourque,,J1N 1H2,1,GARAGE MAG TRANSMISSION,819 864-9119,False,Commerce,Services aux consommateurs,Entretien automobile,Autres services de réparation et d'entretien mécaniques et électriques de véhicules automobiles,811199.0,Autres services (sauf les administrations publiques),Tous les autres services de réparation et d'entretien de véhicules automobiles,1164590706.0,Rock Forest - Deauville,False,2020-09-21,2024-06-11,-72.0315956,45.3469973
31,dd028b5e-63f4-4ec7-969c-8bbea16d0c7e,1255,Chemin Saint-Roch Nord,,J1N 0H2,1,EMBLM,819 864-4281,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,417910.0,Commerce de gros,Grossistes-marchands de machines et matériel de bureau et de magasin,1143314756.0,Rock Forest - Deauville,False,2020-09-21,2024-07-31,-72.0311048,45.3513577
33,ed4377bb-371e-480b-a0ca-0a6a3adb521b,1230,Chemin Saint-Roch Sud,,J1N 0B2,1,BÉTON PRÉFONTAINE,819 864-0345,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1143741776.0,Rock Forest - Deauville,False,2020-09-21,2024-06-21,-72.0247383,45.349926700000005
34,c5d4aa82-1b8c-41d9-804d-4bcc6339bc18,6598,Boulevard Bourque,,J1N 1H3,"1,2",UNI-PRO GARAGE JEAN MATHIEU,819 612-0809,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1165274946.0,Rock Forest - Deauville,True,2020-04-16,2024-06-11,-72.0236015,45.35124
36,1491ea51-b8cb-4001-af39-67e10b620a1f,3205,Rue Albert-Boudreau,,J1G 5J1,1,AUTOBUS DES CANTONS INC.,819 346-1995,False,Commerce de gros/para-industriel,Transport,Transport de personnes,Transport scolaire et transport d'employés par autobus,485410.0,Transport et entreposage,Transport scolaire et transport d'employés par autobus,1149295991.0,Rock Forest - Deauville,False,2020-09-21,2024-06-21,-72.02348479999999,45.349621
37,3ba8b23d-cf14-4df8-81b3-b23189cb8d85,5920,Boulevard Bourque,,J1N 1H3,1,CASERNE INCENDIE JACQUES-DENAULT,819 823-8000,False,Institution,Organismes publics et privés,Organismes publics,Services municipaux de lutte contre les incendies,913140.0,Administrations publiques,Services municipaux de lutte contre les incendies,8831854920.0,Rock Forest - Deauville,False,2020-04-16,2024-06-20,-72.0114159,45.3568787
38,6ece0f8d-f4c4-468b-b5f7-08e557ccd71b,390,Rue Rodolphe-Racine,,J1R 0S7,1,AIGUIFAB,,False,Commerce de gros/para-industriel,Fabrication,Autre fabrication,Toutes les autres activités diverses de fabrication,339990.0,Fabrication,Toutes les autres activités diverses de fabrication,,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.00638130000002,45.3876308
39,aec6e0a3-69fc-4251-bd23-bbf462383fb6,330,Rue Rodolphe-Racine,,J1R 0S7,1,X AUTOMATION,819 200-0317,False,Commerce de gros/para-industriel,Services professionnels,Conception de systèmes informatiques et services connexes,Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),541514.0,"Services professionnels, scientifiques et techniques",Conception de systèmes informatiques et services connexes (sauf la conception et le développement de jeux vidéo),1170236732.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0052067,45.38843079999999
40,6d01bd94-78d6-42f6-b7de-1f137655c721,282,Rue Rodolphe-Racine,,J1R 0S7,1,CONSTRUCTION MAX-CED INC.,819 843-3552,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1143790682.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.00481959999999,45.38883919999999
41,05e9c5c1-a68b-4c7f-905a-369f99224a98,160,Rue Léger,3,J1L 1L9,1,TEINTAGE DE L'ESTRIE,818 823-4885,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",811121.0,Autres services (sauf les administrations publiques),"Réparation et entretien de la carrosserie, de la peinture et de l'intérieur de véhicules automobiles",1167163196.0,Rock Forest - Deauville,False,2024-06-17,2024-08-02,-71.96892160120997,45.39102050064726
43,fa4bea74-9483-460e-81f5-970e7995bb9b,268,Chemin Godin,110,J1R 0S6,1,GROUPE VERTDURE,819 829-1212,False,Commerce de gros/para-industriel,Services d'affaires,Services d'entretien d'immeuble,Services d'aménagement paysager,561730.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Services d'aménagement paysager,1174923756.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.00399019999999,45.3897463
48,f2e6dca2-a611-44bc-843f-c606df0b90fa,436,Chemin Godin,,J1R 0S6,1,ENTREPÔTS CIBLE MINI ENTREPOSAGE,819 864-6030,False,Commerce,Services aux consommateurs,Location,Mini-entrepôts libre-service,531130.0,Services immobiliers et services de location et de location à bail,Mini-entrepôts libre-service,1173299299.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0037713,45.3851375
49,86789b13-3c17-47ea-b562-f1425d6c7672,818,Chemin Godin,,J1R 0S6,1,SHER AUVENTS,819 822-4242,False,Commerce de gros/para-industriel,Fabrication,Textiles,Usines de sacs en textile et de grosse toile,314910.0,Fabrication,Usines de sacs en textile et de grosse toile,1169761534.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.00368399999999,45.3781608
50,c3fc2148-4652-46f0-94c6-b1ede4b436e2,396,Chemin Godin,,J1R 0S6,1,DENIS LACHANCE,,False,Commerce de gros/para-industriel,NON-CLASSÉS,NON-CLASSÉS,NON-CLASSÉS,488990.0,Non-classés,NON-CLASSÉS,,Rock Forest - Deauville,False,2021-10-27,2024-08-02,-72.00366269999999,45.3860971
51,a28af352-b961-4276-a382-7c685dea6e8c,313,Chemin Godin,,J1R 0S6,1,M E SCIAGE ET FORAGE,819 820-2488,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,238110.0,Construction,Entrepreneurs en travaux de fondations et de structure en béton coulé,1148042287.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0027868,45.3884085
52,fdaaf443-47bc-4c05-a739-43fbf2eab743,309,Chemin Godin,,J1R 0S6,1,D. L. FABRIQUE,819 791-5310,False,Commerce de gros/para-industriel,Fabrication,Matériaux de construction,Fabrication de fenêtres et de portes en bois,321911.0,Fabrication,Fabrication de fenêtres et de portes en bois,1145532967.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0027868,45.3884085
53,08432257-f343-4eec-809e-04cca1346497,257,Chemin Godin,,J1R 0S6,1,ROYAL SOLUTIONS DE BÂTIMENT,819 820-9696,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de parements,238170.0,Construction,Entrepreneurs en travaux de parements,1164053952.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.0020254,45.3898199
54,e867bc6f-5bdb-4852-b5e9-b47f1e4e6f2e,185,Chemin Godin,1,J1R 0S6,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Rock Forest - Deauville,False,2020-10-30,2024-06-12,-72.0016193,45.3908052
59,aabca6e5-b13c-4f5a-8344-545a89b60a73,155,Chemin Godin,,J1R 0S6,1,LES PROMENADES DE L’ESTRIE,819 588-8781,False,Commerce de gros/para-industriel,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1168404961.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-72.00061,45.3919264
60,9a9eb53f-a354-4f6b-a601-5ca320b7ef1e,137,Chemin Godin,,J1R 0S6,"1,2",A. BOURQUE ACIER ET MÉTAUX,819 569-6960,False,Commerce de gros/para-industriel,Services d'affaires,Services de gestion des déchets,Installations de récupération de matériaux,562920.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Installations de récupération de matériaux,1143077957.0,Rock Forest - Deauville,False,2020-10-30,2024-08-02,-71.999409,45.392837400000005
62,6019e115-ea2a-437c-abb7-5e755fef076f,71,Chemin Godin,,J1R 0S6,1,DÉNEIGEMENT PATRICE BOISVERT,819 200-1390,False,Commerce de gros/para-industriel,Services d'affaires,Services d'entretien d'immeuble,Tous les autres services relatifs aux bâtiments et aux logements,561799.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Tous les autres services relatifs aux bâtiments et aux logements,2267958264.0,Rock Forest - Deauville,False,2022-02-17,2024-08-02,-71.99745709999999,45.3929627
65,af809fed-f3db-435d-b4c4-1e536d10d0bd,168,Rue St-Jacques,,J1R 0T2,1,DISTRIBUTION JD,,False,Commerce de gros/para-industriel,Transport,Transport de marchandises,Transport local par camion d'autres marchandises spéciales (sauf les biens usagés),484229.0,Transport et entreposage,Transport local par camion d'autres marchandises spéciales (sauf les biens usagés),1171193585.0,Rock Forest - Deauville,False,2021-05-12,2024-08-01,-71.9949729,45.3909759
66,4fb51b8f-51b7-44c4-ad81-891abf3c15aa,1004,Rue Daigle,,J1N 2L1,1,DÉPANNEUR KENNEDY,819 864-9990,False,Commerce,Biens courants,Alimentation,Dépanneurs,445131.0,Commerce de détail,Dépanneurs,1169319846.0,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.9944921,45.36410360000001
67,7cf47305-b667-4f3c-90f5-5766be6cccf4,2700,Chemin Saint-Roch Sud,,J1N 2T3,1,UNITÉ PAROISSIALE SAINT-PAUL,819 864-4055,False,Institution,Organismes publics et privés,Organismes religieux,Organismes religieux,813110.0,Autres services (sauf les administrations publiques),Organismes religieux,1144210292.0,Rock Forest - Deauville,False,2020-09-21,2024-06-21,-71.9916178,45.3479746
68,98e4808c-7db6-4643-a24f-81046abd137a,6630,Rue Émery-Fontaine,,J1N 2T3,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Rock Forest - Deauville,False,2020-10-30,2024-06-21,-71.9910756,45.3487049
69,697fef83-cb5c-4baf-aeb3-0e4b8b267dee,6550,Rue Émery-Fontaine,,J1N 2S6,1,SALON AMBRE COIFFURE,819 864-7711,False,Commerce,Services aux consommateurs,Soins personnels,Salons de coiffure unisexes,812116.0,Autres services (sauf les administrations publiques),Salons de coiffure unisexes,,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.9899978,45.3494494
70,4a59d1ba-a790-43fb-8e5c-958086259f57,702,Rue du Curé,,J1N 2N8,1,VACANT,,False,Commerce,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.988367,45.3545783
72,bc385668-33f1-44f5-8a91-6b28fb44c7cc,699,Rue du Curé,,J1N 2N8,1,DÉPANNEUR BEAU-SOIR,819 864-9944,False,Commerce,Biens courants,Alimentation,Stations-service avec dépanneurs,457110.0,Commerce de détail,Stations-service avec dépanneurs,1149797806.0,Rock Forest - Deauville,True,2020-04-16,2024-06-21,-71.9877302,45.3551918
73,1e89431c-63e5-4314-bf60-aa69dc142c42,6100,Rue Bertrand-Fabi,,J1N 2P3,1,CONSTRUCTION TURCO,819 864-9481,False,Commerce de gros/para-industriel,Construction,Construction,Construction de bâtiments à usage commercial et institutionnel,236220.0,Construction,Construction de bâtiments à usage commercial et institutionnel,1141862822.0,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.9869226,45.3547349
74,528cd330-cae5-4e0e-946d-836320f758d5,4797,Rue de Gaspé,,J1N 2C7,1,CPE PASSE-PARTOUT ET SES AMIS,819 564-8440,False,Commerce,Services professionnels,Centre de la petite enfance (CPE) et garderie,Services de garderie,624410.0,Soins de santé et assistance sociale,Services de garderie,1143918325.0,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.98331189999999,45.371404
75,0a16da90-d2cf-4641-8a03-71a3a334dfbf,970,Rue Fortier Sud,,J1N 2C4,1,GARDERIE LES AMIS D’ABORD,819 580-3141,False,Commerce,Services professionnels,Centre de la petite enfance (CPE) et garderie,Services de garderie,624410.0,Soins de santé et assistance sociale,Services de garderie,2248329684.0,Rock Forest - Deauville,False,2022-06-07,2024-06-21,-71.9831347,45.372484
76,f7e3f61a-3069-4525-84b6-9397170b1d38,950,Rue Fortier Sud,,J1N 2C4,1,LA FAIM FINAUDE,819 562-2010,False,Commerce,"Restauration, divertissement et hôtellerie",Restauration,Traiteurs,722320.0,Services d'hébergement et de restauration,Traiteurs,1164198773.0,Rock Forest - Deauville,False,2020-04-16,2024-06-21,-71.9831232,45.3722531
77,3d0411c6-3ee7-45d4-b8be-25f1e5a5ac5a,4596,Rue du Pavillon,,J1N 1N5,1,MÉCANIQUE PAUL BOUCHER,819 564-3969,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1168198431.0,Rock Forest - Deauville,False,2021-10-26,2024-07-30,-71.981426,45.376175700000005
78,e65d17ae-fefd-4136-ba21-e5dc61d98d8b,1317,Boulevard du Mi-Vallon,,J1N 4J1,1,AUTO VALUE ROCK FOREST,819 822-3686,False,Commerce,Services aux consommateurs,Entretien automobile,Réparations générales de véhicules automobiles,811111.0,Autres services (sauf les administrations publiques),Réparations générales de véhicules automobiles,1171861280.0,Rock Forest - Deauville,True,2020-04-16,2024-07-31,-71.978396,45.37784629999999
79,3ee376e0-0bd7-4402-a627-5133c9821909,4307,Rue Martin,,J1N 1S8,"-1, 1",CPE JARDIN D.A.M.I.S.,819 347-2424,False,Commerce,Services professionnels,Centre de la petite enfance (CPE) et garderie,Services de garderie,624410.0,Soins de santé et assistance sociale,Services de garderie,1148535116.0,Rock Forest - Deauville,False,2020-10-30,2024-08-01,-71.9759643,45.3828388
80,13a2de73-6e08-4760-8627-f88c4d3c0e58,4445,Rue Robitaille,,J1L 2Y9,1,VACANT,,False,Commerce de gros/para-industriel,VACANT,VACANT,VACANT,999998.0,Vacant,VACANT,,Rock Forest - Deauville,False,2023-01-10,2024-08-01,-71.9749147,45.3909552
81,86fef9ec-64fb-4b89-a9b6-24f3567d8a41,4460,Rue Ouimet,,J1L 2G9,1,LES INSTALLATIONS ÉLECTRIQUES SYLVAIN DURAND INC.,819 822-2096,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux d'électricité et en installation de câblage,238210.0,Construction,Entrepreneurs en travaux d'électricité et en installation de câblage,1142464545.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.97476259999999,45.3933063
82,78ad5531-4067-4c3a-b575-bd0252105bba,4420,Rue Robitaille,,J1L 0B5,1,CONSTRUCTIONS GUY SÉBAS INC.,819 566-7699,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1144279677.0,Rock Forest - Deauville,False,2020-09-14,2024-08-02,-71.9744863,45.3902368
83,ea70f29d-e289-4234-8db2-dafaa1ed0c3d,191,Rue Joseph-Robertson,,J1L 2W7,1,NAPA PIÈCES D'AUTO,819 563-0715,False,Commerce de gros/para-industriel,Biens semi-courants,Marchandises spécialisées,Magasins de pièces et d'accessoires pour véhicules automobiles,441330.0,Commerce de détail,Détaillants de pièces et d'accessoires pour véhicules automobiles,1141829458.0,Rock Forest - Deauville,True,2020-09-14,2024-08-01,-71.97416900000002,45.392459800000005
84,acebba75-000f-4eac-90ad-ad0633aacbaf,4435,Rue Ouimet,,J1L 1Y4,"1,2",AGENCE DU LIVRE (ADL),819 348-2662,False,Commerce de gros/para-industriel,Commerce de gros,Commerce de gros,"Grossistes-marchands de livres, de périodiques et de journaux",414420.0,Commerce de gros,"Grossistes-marchands de livres, de périodiques et de journaux",1168273671.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.9741645,45.393877200000006
85,e88cf80b-06b7-4bc3-8b10-0a4674044784,4420,Rue Ouimet,,J1L 2G9,1,COMMUNICATION PLUS,819 563-0133,False,Commerce de gros/para-industriel,Services d'affaires,"Industrie de l'information, des arts et de la culture",Télécommunications par fil et sans fil (sauf par satellite),517310.0,Industrie de l'information et industrie culturelle,Télécommunications par fil et sans fil (sauf par satellite),1175912014.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.9738634,45.3932484
86,9c68dc0c-1303-42df-8bca-e3c8f9088b07,204,Rue Joseph-Robertson,,J1L 2X3,1,VITRERIE SHERBROOKE,819 829-9555,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en travaux de vitrage et de vitrerie,238150.0,Construction,Entrepreneurs en travaux de vitrage et de vitrerie,1164258981.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.9732042,45.3926888
87,d85abc1e-7393-4a0b-82fc-8cfc0ebb14a3,4400,Rue Ouimet,,J1L 2A8,1,LES SYSTÈMES TELESECURE INC.,819 563-3333,False,Commerce de gros/para-industriel,Services d'affaires,Sécurité,Services de systèmes de sécurité (sauf les serruriers),561621.0,"Services administratifs, services de soutien, services de gestion des déchets et services d'assainissement",Services de systèmes de sécurité (sauf les serruriers),1149850944.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.9731781,45.393272800000005
88,6337d1f3-9754-4fcb-90a1-cc38e86ecdc2,4396,Rue Ouimet,,J1L 2A8,1,CONCEPT MULTI BOIS,819 565-3308,False,Commerce de gros/para-industriel,Construction,Construction,Entrepreneurs en petite menuiserie,238350.0,Construction,Entrepreneurs en petite menuiserie,1162394218.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.9731781,45.393272800000005
89,a2101dcb-2efd-43b4-a4ba-34a432853011,4391,Rue Ouimet,,J1L 1X5,1,STEKE INC.,819 566-7373,False,Commerce de gros/para-industriel,Fabrication,Machinerie,Fabrication de pompes et de compresseurs,333910.0,Fabrication,Fabrication de pompes et de compresseurs,1143831346.0,Rock Forest - Deauville,False,2020-09-14,2024-08-01,-71.97298959999999,45.3939118
90,855f0496-a942-45eb-8482-aa8858a1c008,4385,Rue Robitaille,,J1L 2K2,1,CONSTRUCTION SYLVATECH,819 791-5365,False,Commerce de gros/para-industriel,Construction,Construction,Construction résidentielle,236110.0,Construction,Construction résidentielle,1166253972.0,Rock Forest - Deauville,False,2020-09-14,2024-08-02,-71.97274589999999,45.3908923
